"n_SportID","c_Sport","c_SportShort","n_DateLocal","c_DateLocal","d_DateLocal","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","n_NrOfEvents","n_NrOfPhases","n_NrOfMatches","n_MedalsGold","n_MedalsSilver","n_MedalsBronze"
212,"Curling","CUR",20220207,"2022-02-07T00:00:00","/Date(1644192000000+0000)/","2022-02-07T09:05:00","2022-02-07T01:05:00","2022-02-07T20:05:00","2022-02-07T12:05:00",1,2,6,0,0,0
212,"Curling","CUR",20220208,"2022-02-08T00:00:00","/Date(1644278400000+0000)/","2022-02-08T14:05:00","2022-02-08T06:05:00","2022-02-08T20:05:00","2022-02-08T12:05:00",1,1,2,1,1,1
212,"Curling","CUR",20220209,"2022-02-09T00:00:00","/Date(1644364800000+0000)/","2022-02-09T20:05:00","2022-02-09T12:05:00","2022-02-09T20:05:00","2022-02-09T12:05:00",1,1,4,0,0,0
212,"Curling","CUR",20220210,"2022-02-10T00:00:00","/Date(1644451200000+0000)/","2022-02-10T09:05:00","2022-02-10T01:05:00","2022-02-10T20:05:00","2022-02-10T12:05:00",2,2,12,0,0,0
212,"Curling","CUR",20220211,"2022-02-11T00:00:00","/Date(1644537600000+0000)/","2022-02-11T09:05:00","2022-02-11T01:05:00","2022-02-11T20:05:00","2022-02-11T12:05:00",2,2,11,0,0,0
212,"Curling","CUR",20220212,"2022-02-12T00:00:00","/Date(1644624000000+0000)/","2022-02-12T09:05:00","2022-02-12T01:05:00","2022-02-12T20:05:00","2022-02-12T12:05:00",2,2,11,0,0,0
212,"Curling","CUR",20220213,"2022-02-13T00:00:00","/Date(1644710400000+0000)/","2022-02-13T09:05:00","2022-02-13T01:05:00","2022-02-13T20:05:00","2022-02-13T12:05:00",2,2,11,0,0,0
212,"Curling","CUR",20220214,"2022-02-14T00:00:00","/Date(1644796800000+0000)/","2022-02-14T09:05:00","2022-02-14T01:05:00","2022-02-14T20:05:00","2022-02-14T12:05:00",2,2,11,0,0,0
212,"Curling","CUR",20220215,"2022-02-15T00:00:00","/Date(1644883200000+0000)/","2022-02-15T09:05:00","2022-02-15T01:05:00","2022-02-15T20:05:00","2022-02-15T12:05:00",2,2,12,0,0,0
212,"Curling","CUR",20220216,"2022-02-16T00:00:00","/Date(1644969600000+0000)/","2022-02-16T09:05:00","2022-02-16T01:05:00","2022-02-16T20:05:00","2022-02-16T12:05:00",2,2,10,0,0,0
