"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1, 844426,"DESTHIEUX Simon","DESTHIEUX S","Simon","Desthieux","15",15,  144, 2202,France,FRA,17,17,"17","+2:59.4","51:46.8",3106800, 179400,"1 + 2 + 0 + 0","3",TRUE,FALSE,1
1, 844376,"PIDRUCHNYI Dmytro","PIDRUCHNYI D","Dmytro","Pidruchnyi","21",21,   13, 2232,Ukraine,UKR,18,18,"18","+3:01.9","51:49.3",3109300, 181900,"0 + 1 + 1 + 1","3",TRUE,FALSE,1
1, 720640,"WEGER Benjamin","WEGER B","Benjamin","Weger","57",57,  149, 2213,Switzerland,SUI,19,19,"19","+3:19.5","52:06.9",3126900, 199500,"0 + 0 + 1 + 1","2",TRUE,FALSE,1
1, 451771,"EDER Simon","EDER S","Simon","Eder","13",13,  151, 2219,Austria,AUT,20,20,"20","+3:22.0","52:09.4",3129400, 202000,"0 + 0 + 1 + 1","2",TRUE,FALSE,1
1, 919030,"STROLIA Vytautas","STROLIA V","Vytautas","Strolia","20",20,    7, 2215,Lithuania,LTU,21,21,"21","+3:23.0","52:10.4",3130400, 203000,"0 + 0 + 0 + 1","1",TRUE,FALSE,1
1,1338383,"BURKHALTER Joscha","BURKHALTER J","Joscha","Burkhalter","32",32,  149, 2213,Switzerland,SUI,22,22,"22","+3:25.0","52:12.4",3132400, 205000,"0 + 2 + 0 + 0","2",TRUE,FALSE,1
1,1338646,"SEPPALA Tero","SEPPALA T","Tero","Seppälä","92",92,  161, 2237,Finland,FIN,23,23,"23","+3:26.9","52:14.3",3134300, 206900,"0 + 2 + 0 + 0","2",TRUE,FALSE,1
1, 844429,"GOW Christian","GOW C","Christian","Gow","37",37,  159, 2231,Canada,CAN,24,24,"24","+3:34.5","52:21.9",3141900, 214500,"0 + 0 + 2 + 0","2",TRUE,FALSE,1
1,1632811,"KIREYEV Vladislav","KIREYEV V","Vladislav","Kireyev","40",40,  160, 2236,Kazakhstan,KAZ,25,25,"25","+3:41.8","52:29.2",3149200, 221800,"0 + 0 + 0 + 0","0",TRUE,FALSE,1
1, 717462,"MAGAZEEV Pavel","MAGAZEEV P","Pavel","Magazeev","3", 3,   23, 2251,Moldova,MDA,26,26,"26","+3:54.3","52:41.7",3161700, 234300,"1 + 1 + 0 + 0","2",TRUE,FALSE,1
1, 717511,"HOFER Lukas","HOFER L","Lukas","Hofer","35",35,    6, 2210,Italy,ITA,27,27,"27","+3:56.2","52:43.6",3163600, 236200,"0 + 2 + 0 + 0","2",TRUE,FALSE,1
1,1720671,"BROWN Jake","BROWN J","Jake","Brown","75",75,    5, 2209,United States,USA,28,28,"28","+3:58.0","52:45.4",3165400, 238000,"0 + 0 + 2 + 0","2",TRUE,FALSE,1
1, 650373,"FAK Jakov","FAK J","Jakov","Fak","29",29,   30, 2783,Slovenia,SLO,29,29,"29","+4:00.6","52:48.0",3168000, 240600,"1 + 1 + 0 + 1","3",TRUE,FALSE,1
1,1338622,"SAMUELSSON Sebastian","SAMUELSSON S","Sebastian","Samuelsson","33",33,  154, 2222,Sweden,SWE,30,30,"30","+4:04.3","52:51.7",3171700, 244300,"1 + 1 + 1 + 0","3",TRUE,FALSE,1
1,1630139,"KARLIK Mikulas","KARLIK M","Mikuláš","Karlík","66",66,   17, 2240,Czech Republic,CZE,31,31,"31","+4:08.9","52:56.3",3176300, 248900,"0 + 0 + 0 + 3","3",TRUE,FALSE,1
1,1949084,"WRIGHT Campbell","WRIGHT C","Campbell","Wright","22",22,  158, 2230,New Zealand,NZL,32,32,"32","+4:12.4","52:59.8",3179800, 252400,"0 + 1 + 1 + 0","2",TRUE,FALSE,1
1,1472943,"RUNNALLS Adam","RUNNALLS A","Adam","Runnalls","90",90,  159, 2231,Canada,CAN,33,33,"33","+4:37.3","53:24.7",3204700, 277300,"1 + 0 + 0 + 2","3",TRUE,FALSE,1
1,1475330,"KHALILI Said Karimulla","KHALILI SK","Said Karimulla","Khalili","56",56,23062,73035,ROC,ROC,34,34,"34","+4:39.1","53:26.5",3206500, 279100,"2 + 1 + 0 + 1","4",TRUE,FALSE,1
1,1593255,"SCHOMMER Paul","SCHOMMER P","Paul","Schommer","30",30,    5, 2209,United States,USA,35,35,"35","+4:40.2","53:27.6",3207600, 280200,"0 + 1 + 0 + 2","3",TRUE,FALSE,1
1,1245786,"BURNOTTE Jules","BURNOTTE J","Jules","Burnotte","78",78,  159, 2231,Canada,CAN,36,36,"36","+4:44.9","53:32.3",3212300, 284900,"1 + 1 + 1 + 0","3",TRUE,FALSE,1
1, 708783,"PRYMA Artem","PRYMA A","Artem","Pryma","46",46,   13, 2232,Ukraine,UKR,37,37,"37","+4:48.8","53:36.2",3216200, 288800,"1 + 2 + 0 + 1","4",TRUE,FALSE,1
1,1017682,"DOVZAN Miha","DOVZAN M","Miha","Dovžan","45",45,   30, 2783,Slovenia,SLO,38,38,"38","+4:52.0","53:39.4",3219400, 292000,"0 + 0 + 0 + 2","2",TRUE,FALSE,1
1,1338685,"YAN Xingyuan","YAN X","Xingyuan","Yan","49",49,   26, 2770,China,CHN,39,39,"39","+4:53.2","53:40.6",3220600, 293200,"1 + 1 + 1 + 0","3",TRUE,FALSE,1
1, 909302,"FEMLING Peppe","FEMLING P","Peppe","Femling","71",71,  154, 2222,Sweden,SWE,40,40,"40","+4:56.2","53:43.6",3223600, 296200,"1 + 0 + 0 + 1","2",TRUE,FALSE,1
1, 759871,"GERDZHIKOV Dimitar","GERDZHIKOV D","Dimitar","Gerdzhikov","42",42,  148, 2211,Bulgaria,BUL,41,41,"41","+5:06.8","53:54.2",3234200, 306800,"1 + 0 + 1 + 0","2",TRUE,FALSE,1
1, 980366,"DOHERTY Sean","DOHERTY S","Sean","Doherty","55",55,    5, 2209,United States,USA,42,42,"42","+5:08.4","53:55.8",3235800, 308400,"1 + 1 + 1 + 1","4",TRUE,FALSE,1
1, 909343,"SIMA Michal","SIMA M","Michal","Šíma","6", 6,   14, 2233,Slovakia,SVK,43,43,"43","+5:21.6","54:09.0",3249000, 321600,"0 + 1 + 0 + 1","2",TRUE,FALSE,1
1,1017907,"KOBONOKI Tsukasa","KOBONOKI T","Tsukasa","Kobonoki","34",34,   18, 2241,Japan,JPN,44,44,"44","+5:29.2","54:16.6",3256600, 329200,"1 + 0 + 1 + 1","3",TRUE,FALSE,1
1, 771358,"KOMATZ David","KOMATZ D","David","Komatz","65",65,  151, 2219,Austria,AUT,45,45,"45","+5:36.7","54:24.1",3264100, 336700,"1 + 0 + 1 + 1","3",TRUE,FALSE,1
1,1632818,"PLANKO Lovro","PLANKO L","Lovro","Planko","76",76,   30, 2783,Slovenia,SLO,46,46,"46","+5:40.5","54:27.9",3267900, 340500,"2 + 1 + 0 + 1","4",TRUE,FALSE,1
1,1949143,"LABASTAU Mikita","LABASTAU M","Mikita","Labastau","73",73,  103, 4387,Belarus,BLR,47,47,"47","+5:42.3","54:29.7",3269700, 342300,"1 + 2 + 0 + 1","4",TRUE,FALSE,1
1, 413990,"BIONAZ Didier","BIONAZ D","Didier","Bionaz","79",79,    6, 2210,Italy,ITA,48,48,"48","+5:57.3","54:44.7",3284700, 357300,"1 + 1 + 1 + 0","3",TRUE,FALSE,1
1, 909270,"GUZIK Grzegorz","GUZIK G","Grzegorz","Guzik","24",24,  150, 2214,Poland,POL,49,49,"49","+6:00.5","54:47.9",3287900, 360500,"0 + 1 + 1 + 1","3",TRUE,FALSE,1
1,1484428,"DUDCHENKO Anton","DUDCHENKO A","Anton","Dudchenko","63",63,   13, 2232,Ukraine,UKR,50,50,"50","+6:07.5","54:54.9",3294900, 367500,"1 + 0 + 1 + 2","4",TRUE,FALSE,1
1, 839313,"KUEHN Johannes","KUEHN J","Johannes","Kühn","8", 8,    2, 2206,Germany,GER,51,51,"51","+6:10.6","54:58.0",3298000, 370600,"3 + 2 + 1 + 0","6",TRUE,FALSE,1
1,1357340,"MUKHIN Alexandr","MUKHIN A","Alexandr","Mukhin","12",12,  160, 2236,Kazakhstan,KAZ,52,52,"52","+6:13.0","55:00.4",3300400, 373000,"1 + 1 + 0 + 2","4",TRUE,FALSE,1
1,1352235,"STALDER Sebastian","STALDER S","Sebastian","Stalder","80",80,  149, 2213,Switzerland,SUI,53,53,"53","+6:25.2","55:12.6",3312600, 385200,"0 + 1 + 1 + 1","3",TRUE,FALSE,1
1, 848509,"TRSAN Rok","TRSAN R","Rok","Tršan","81",81,   30, 2783,Slovenia,SLO,54,54,"54","+6:27.3","55:14.7",3314700, 387300,"1 + 0 + 0 + 0","1",TRUE,FALSE,1
1,1338189,"TSYMBAL Bogdan","TSYMBAL B","Bogdan","Tsymbal","91",91,   13, 2232,Ukraine,UKR,55,55,"55","+6:31.6","55:19.0",3319000, 391600,"3 + 0 + 1 + 0","4",TRUE,FALSE,1
1,1632821,"HARTWEG Niklas","HARTWEG N","Niklas","Hartweg","77",77,  149, 2213,Switzerland,SUI,56,56,"56","+6:32.3","55:19.7",3319700, 392300,"0 + 2 + 0 + 2","4",TRUE,FALSE,1
1, 835864,"LEMMERER Harald","LEMMERER H","Harald","Lemmerer","88",88,  151, 2219,Austria,AUT,57,57,"57","+6:35.3","55:22.7",3322700, 395300,"0 + 1 + 2 + 1","4",TRUE,FALSE,1
1,1632783,"LAZOUSKI Dzmitry","LAZOUSKI D","Dzmitry","Lazouski","14",14,  103, 4387,Belarus,BLR,58,58,"58","+6:39.0","55:26.4",3326400, 399000,"3 + 0 + 1 + 0","4",TRUE,FALSE,1
1, 823237,"KRCMAR Michal","KRCMAR M","Michal","Krcmár","41",41,   17, 2240,Czech Republic,CZE,59,59,"59","+6:40.5","55:27.9",3327900, 400500,"0 + 1 + 3 + 1","5",TRUE,FALSE,1
1,1484433,"SIIMER Kristo","SIIMER K","Kristo","Siimer","74",74,    8, 2217,Estonia,EST,60,60,"60","+6:45.3","55:32.7",3332700, 405300,"0 + 0 + 1 + 2","3",TRUE,FALSE,1
1, 650455,"ILIEV Vladimir","ILIEV V","Vladimir","Iliev","7", 7,  148, 2211,Bulgaria,BUL,61,61,"61","+6:50.1","55:37.5",3337500, 410100,"2 + 1 + 1 + 1","5",TRUE,FALSE,1
1,1137062,"ZEMLICKA Milan","ZEMLICKA M","Milan","Zemlicka","83",83,   17, 2240,Czech Republic,CZE,62,62,"62","+6:56.9","55:44.3",3344300, 416900,"0 + 1 + 0 + 1","2",TRUE,FALSE,1
1, 760355,"BORMOLINI Thomas","BORMOLINI T","Thomas","Bormolini","67",67,    6, 2210,Italy,ITA,63,63,"63","+7:01.2","55:48.6",3348600, 421200,"0 + 1 + 2 + 2","5",TRUE,FALSE,1
1,1338368,"NELIN Jesper","NELIN J","Jesper","Nelin","60",60,  154, 2222,Sweden,SWE,64,64,"64","+7:02.3","55:49.7",3349700, 422300,"0 + 2 + 0 + 3","5",TRUE,FALSE,1
1,1351832,"STVRTECKY Jakub","STVRTECKY J","Jakub","Štvrtecký","17",17,   17, 2240,Czech Republic,CZE,65,65,"65","+7:05.3","55:52.7",3352700, 425300,"0 + 3 + 0 + 2","5",TRUE,FALSE,1
1,1017675,"LAITINEN Heikki","LAITINEN H","Heikki","Laitinen","4", 4,  161, 2237,Finland,FIN,66,66,"66","+7:05.4","55:52.8",3352800, 425400,"0 + 2 + 1 + 2","5",TRUE,FALSE,1
1, 720068,"LESSER Erik","LESSER E","Erik","Lesser","27",27,    2, 2206,Germany,GER,67,67,"67","+7:12.1","55:59.5",3359500, 432100,"0 + 3 + 0 + 2","5",TRUE,FALSE,1
1, 980313,"ZAHKNA Rene","ZAHKNA R","Rene","Zahkna","38",38,    8, 2217,Estonia,EST,68,68,"68","+7:18.6","56:06.0",3366000, 438600,"0 + 0 + 1 + 2","3",TRUE,FALSE,1
1,1023206,"CHENG Fangming","CHENG F","Fangming","Cheng","10",10,   26, 2770,China,CHN,69,69,"69","+7:20.4","56:07.8",3367800, 440400,"2 + 1 + 0 + 3","6",TRUE,FALSE,1
1, 760378,"KAUKENAS Tomas","KAUKENAS T","Tomas","Kaukenas","69",69,    7, 2215,Lithuania,LTU,70,70,"70","+7:42.6","56:30.0",3390000, 462600,"1 + 0 + 2 + 2","5",TRUE,FALSE,1
1, 771311,"DOMBROVSKI Karol","DOMBROVSKI K","Karol","Dombrovski","43",43,    7, 2215,Lithuania,LTU,71,71,"71","+7:42.7","56:30.1",3390100, 462700,"0 + 1 + 0 + 3","4",TRUE,FALSE,1
1,1245776,"JACQUELIN Emilien","JACQUELIN E","Emilien","Jacquelin","26",26,  144, 2202,France,FRA,72,72,"72","+7:44.0","56:31.4",3391400, 464000,"0 + 3 + 2 + 2","7",TRUE,FALSE,1
1, 764081,"RAENKEL Raido","RAENKEL R","Raido","Ränkel","86",86,    8, 2217,Estonia,EST,73,73,"73","+7:45.0","56:32.4",3392400, 465000,"0 + 2 + 1 + 2","5",TRUE,FALSE,1
1, 844420,"HIIDENSALO Olli","HIIDENSALO O","Olli","Hiidensalo","50",50,  161, 2237,Finland,FIN,74,74,"74","+7:58.2","56:45.6",3405600, 478200,"0 + 2 + 0 + 3","5",TRUE,FALSE,1
1, 759895,"CLAUDE Florent","CLAUDE F","Florent","Claude","19",19,  147, 2205,Belgium,BEL,75,75,"75","+8:23.8","57:11.2",3431200, 503800,"0 + 2 + 3 + 0","5",TRUE,FALSE,1
1, 771353,"LAPSHIN Timofey","LAPSHIN T","Timofey","Lapshin","18",18,  106, 4391,South Korea,KOR,76,76,"76","+8:25.6","57:13.0",3433000, 505600,"1 + 1 + 2 + 1","5",TRUE,FALSE,1
1, 760243,"LANGER Thierry","LANGER T","Thierry","Langer","61",61,  147, 2205,Belgium,BEL,77,77,"77","+8:30.9","57:18.3",3438300, 510900,"1 + 1 + 2 + 1","5",TRUE,FALSE,1
1, 980238,"ERMITS Kalev","ERMITS K","Kalev","Ermits","25",25,    8, 2217,Estonia,EST,78,78,"78","+8:33.9","57:21.3",3441300, 513900,"2 + 2 + 0 + 2","6",TRUE,FALSE,1
1,1351996,"BANYS Linas","BANYS L","Linas","Banys","84",84,    7, 2215,Lithuania,LTU,79,79,"79","+8:58.8","57:46.2",3466200, 538800,"1 + 1 + 0 + 1","3",TRUE,FALSE,1
1,1630164,"SKLENARIK Tomas","SKLENARIK T","Tomáš","Sklenárik","70",70,   14, 2233,Slovakia,SVK,80,80,"80","+9:20.7","58:08.1",3488100, 560700,"2 + 2 + 1 + 0","5",TRUE,FALSE,1
1,1338665,"HARJULA Tuomas","HARJULA T","Tuomas","Harjula","62",62,  161, 2237,Finland,FIN,81,81,"81","+9:27.5","58:14.9",3494900, 567500,"1 + 2 + 1 + 0","4",TRUE,FALSE,1
1,1017913,"OZAKI Kosuke","OZAKI K","Kosuke","Ozaki","52",52,   18, 2241,Japan,JPN,82,82,"82","+9:50.5","58:37.9",3517900, 590500,"1 + 0 + 4 + 1","6",TRUE,FALSE,1
1,1475337,"ZHU Zhenyu","ZHU Z","Zhenyu","Zhu","85",85,   26, 2770,China,CHN,83,83,"83","+9:55.2","58:42.6",3522600, 595200,"1 + 2 + 1 + 0","4",TRUE,FALSE,1
1,1338427,"BALOGA Matej","BALOGA M","Matej","Baloga","87",87,   14, 2233,Slovakia,SVK,84,84,"84","+9:59.7","58:47.1",3527100, 599700,"0 + 1 + 1 + 2","4",TRUE,FALSE,1
1, 919034,"SINAPOV Anton","SINAPOV A","Anton","Sinapov","72",72,  148, 2211,Bulgaria,BUL,85,85,"85","+10:00.2","58:47.6",3527600, 600200,"2 + 1 + 1 + 2","6",TRUE,FALSE,1
1,1338417,"VARABEI Maksim","VARABEI M","Maksim","Varabei","51",51,  103, 4387,Belarus,BLR,86,86,"86","+10:12.1","58:59.5",3539500, 612100,"1 + 3 + 2 + 2","8",TRUE,FALSE,1
1, 717488,"NORDGREN Leif","NORDGREN L","Leif","Nordgren","89",89,    5, 2209,United States,USA,87,87,"87","+10:42.4","59:29.8",3569800, 642400,"2 + 2 + 1 + 2","7",TRUE,FALSE,1
1,1137078,"BARTKO Simon","BARTKO S","Simon","Bartko","58",58,   14, 2233,Slovakia,SVK,88,88,"88","+11:00.4","59:47.8",3587800, 660400,"2 + 3 + 1 + 1","7",TRUE,FALSE,1
1,2273751,"COLTEA George","COLTEA G","George","Coltea","59",59,  164, 2244,Romania,ROU,89,89,"89","+13:08.1","1:01:55.5",3715500, 788100,"1 + 4 + 0 + 3","8",TRUE,FALSE,1
1,1137091,"LAHAYE-GOFFART Tom","LAHAYE-GOFFART T","Tom","Lahaye-Goffart","68",68,  147, 2205,Belgium,BEL,90,90,"90","+13:38.8","1:02:26.2",3746200, 818800,"2 + 1 + 3 + 1","7",TRUE,FALSE,1
1,1472949,"BEAUVAIS Cesar","BEAUVAIS C","César","Beauvais","82",82,  147, 2205,Belgium,BEL,91,91,"91","+14:03.1","1:02:50.5",3770500, 843100,"1 + 1 + 1 + 4","7",TRUE,FALSE,1
1,1718967,"ZHANG Chunyu","ZHANG C","Chunyu","Zhang","64",64,   26, 2770,China,CHN,92,92,"92","+18:24.8","1:07:12.2",4032200,1104800,"2 + 4 + 5 + 1","12",TRUE,FALSE,1
