"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","c_Bib1","c_Bib2","c_Bib3","c_Bib4"
4,  2053,"Finland","FIN","Finland","8", 8,  161, 2237,Finland,FIN,11,11,"11","+3:21.1","1:10:06.7",4206700,201100,"1 + 12",TRUE,FALSE,"1","2","3","4","1137085","656616","1338646","844420","MINKKINEN Suvi","EDER Mari","SEPPALA Tero","HIIDENSALO Olli","Suvi","Mari","Tero","Olli","Minkkinen","Eder","Seppälä","Hiidensalo","MINKKINEN S","EDER M","SEPPALA T","HIIDENSALO O","8-1","8-1","8-1","8-1"
4,   347,"Czech Republic","CZE","Czech Republic","9", 9,   17, 2240,Czech Republic,CZE,12,12,"12","+3:34.6","1:10:20.2",4220200,214600,"3 + 17",TRUE,FALSE,"1","2","3","4","980274","1338578","1630139","823237","JISLOVA Jessica","DAVIDOVA Marketa","KARLIK Mikulas","KRCMAR Michal","Jessica","Markéta","Mikuláš","Michal","Jislová","Davidová","Karlík","Krcmár","JISLOVA J","DAVIDOVA M","KARLIK M","KRCMAR M","9-1","9-3","9-3","9-3"
4,   233,"Ukraine","UKR","Ukraine","10",10,   13, 2232,Ukraine,UKR,13,13,"13","+3:36.1","1:10:21.7",4221700,216100,"4 + 15",TRUE,FALSE,"1","2","3","4","602500","760227","708783","844376","SEMERENKO Valj","DZHIMA Yuliia","PRYMA Artem","PIDRUCHNYI Dmytro","Valj","Yuliia","Artem","Dmytro","Semerenko","Dzhima","Pryma","Pidruchnyi","SEMERENKO V","DZHIMA Y","PRYMA A","PIDRUCHNYI D","10-1","10-1","10-1","10-4"
4,   962,"Canada","CAN","Canada","18",18,  159, 2231,Canada,CAN,14,14,"14","+4:26.8","1:11:12.4",4272400,266800,"3 + 17",TRUE,FALSE,"1","2","3","4","923171","823214","844429","720662","BEAUDRY Sarah","LUNDER Emma","GOW Christian","GOW Scott","Sarah","Emma","Christian","Scott","Beaudry","Lunder","Gow","Gow","BEAUDRY S","LUNDER E","GOW C","GOW S","18-1","18-1","18-1","18-1"
4,   220,"China","CHN","China","12",12,   26, 2770,China,CHN,15,15,"15","+4:42.5","1:11:28.1",4288100,282500,"0 + 12",TRUE,FALSE,"1","2","3","4","1475309","1469807","1338685","1023206","MENG Fanqi","CHU Yuanmeng","YAN Xingyuan","CHENG Fangming","Fanqi","Yuanmeng","Xingyuan","Fangming","Meng","Chu","Yan","Cheng","MENG F","CHU Y","YAN X","CHENG F","12-1","12-1","12-1","12-4"
4,   705,"Estonia","EST","Estonia","13",13,    8, 2217,Estonia,EST,16,16,"16","+5:10.9","1:11:56.5",4316500,310900,"1 + 14",TRUE,FALSE,"1","2","3","4","1137072","1119483","980313","1484433","OJA Regina","TOMINGAS Tuuli","ZAHKNA Rene","SIIMER Kristo","Regina","Tuuli","Rene","Kristo","Oja","Tomingas","Zahkna","Siimer","OJA R","TOMINGAS T","ZAHKNA R","SIIMER K","13-1","13-2","13-1","13-4"
4,  1294,"Slovakia","SVK","Slovakia","15",15,   14, 2233,Slovakia,SVK,17,17,"17","LAP","LAP",NA,NA,"9 + 13",TRUE,FALSE,"1","2","3","4","980292","844403","909343","1630164","FIALKOVA Ivona","FIALKOVA Paulina","SIMA Michal","SKLENARIK Tomas","Ivona","Paulína","Michal","Tomáš","Fialková","Fialková","Šíma","Sklenárik","FIALKOVA I","FIALKOVA P","SIMA M","SKLENARIK T","15-1","15-2","15-1","15-1"
4,   638,"Japan","JPN","Japan","20",20,   18, 2241,Japan,JPN,18,18,"18","LAP","LAP",NA,NA,"3 + 11",TRUE,FALSE,"1","2","3","4","759916","1221177","1017907","1017913","TACHIZAKI Fuyuko","MAEDA Sari","KOBONOKI Tsukasa","OZAKI Kosuke","Fuyuko","Sari","Tsukasa","Kosuke","Tachizaki","Maeda","Kobonoki","Ozaki","TACHIZAKI F","MAEDA S","KOBONOKI T","OZAKI K","20-1","20-2","20-3","20-1"
4,   633,"Bulgaria","BUL","Bulgaria","17",17,  148, 2211,Bulgaria,BUL,19,19,"19","LAP","LAP",NA,NA,"3 + 9",TRUE,FALSE,"1","2","3","4","1351981","1351980","650455","759871","TODOROVA Milena","ZDRAVKOVA Maria","ILIEV Vladimir","GERDZHIKOV Dimitar","Milena","Maria","Vladimir","Dimitar","Todorova","Zdravkova","Iliev","Gerdzhikov","TODOROVA M","ZDRAVKOVA M","ILIEV V","GERDZHIKOV D","17-1","17-4","17-3","17-4"
4,   507,"Slovenia","SLO","Slovenia","16",16,   30, 2783,Slovenia,SLO,20,20,"20","LAP","LAP",NA,NA,"4 + 10",TRUE,FALSE,"1","2","3","4","1338606","1633125","650373","1017682","KLEMENCIC Polona","KLEMENCIC Ziva","FAK Jakov","DOVZAN Miha","Polona","Ziva","Jakov","Miha","Klemencic","Klemencic","Fak","Dovžan","KLEMENCIC P","KLEMENCIC Z","FAK J","DOVZAN M","16-1","16-1","16-1","16-1"
