"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","key","n_Position.1","n_Position.2","n_PersonID.1","n_PersonID.2","c_Person.1","c_Person.2","c_PersonFirstName.1","c_PersonFirstName.2","c_PersonLastName.1","c_PersonLastName.2","c_PersonShort.1","c_PersonShort.2","n_BDF_VideoSessionID.1","n_BDF_VideoSessionID.2","c_ClientStreamURL.1","c_ClientStreamURL.2"
2,160936,"LAJOIE M/LAGHA Z","Lajoie/Lagha","Lajoie/Lagha",12,  159, 2231,Canada,CAN,13,13,"13","72.59","72.59",72590,"Q","39.67","32.92","0.00",TRUE,FALSE,1518048012,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",13,1,2,1436266,1436265,"LAJOIE Marjorie","LAGHA Zachary","Marjorie","Zachary","Lajoie","Lagha","LAJOIE M","LAGHA Z",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2,448249,"DAVIS D/SMOLKIN G","Davis/Smolkin","Davis/Smolkin", 9,23062,73035,ROC,ROC,14,14,"14","71.66","71.66",71660,"Q","39.31","32.35","0.00",TRUE,FALSE,1518048009,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",14,1,2,1919104,1919105,"DAVIS Diana","SMOLKIN Gleb","Diana","Gleb","Davis","Smolkin","DAVIS D","SMOLKIN G",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 68135,"KALISZEK N/SPODYRIEV M","Kaliszek/Spodyriev","Kaliszek/Spodyriev", 7,  150, 2214,Poland,POL,15,15,"15","70.32","70.32",70320,"Q","39.51","30.81","0.00",TRUE,FALSE,1518048007,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",15,1,2,1020593,1137784,"KALISZEK Natalia","SPODYRIEV Maksym","Natalia","Maksym","Kaliszek","Spodyriev","KALISZEK N","SPODYRIEV M",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2,442063,"TURKKILA J/VERSLUIS M","Turkkila/Versluis","Turkkila/Versluis", 2,  161, 2237,Finland,FIN,16,16,"16","68.23","68.23",68230,"Q","38.14","31.09","-1.00",TRUE,FALSE,1518048002,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",16,1,2, 916465,1020583,"TURKKILA Juulia","VERSLUIS Matthias","Juulia","Matthias","Turkkila","Versluis","TURKKILA J","VERSLUIS M",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2,439095,"TASCHLEROVA N/TASCHLER F","Taschlerová/Taschler","Taschlerová/Taschler", 4,   17, 2240,Czech Republic,CZE,17,17,"17","67.22","67.22",67220,"Q","37.07","30.15","0.00",TRUE,FALSE,1518048004,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",17,1,2,1702076,1702037,"TASCHLEROVA Natalie","TASCHLER Filip","Natalie","Filip","Taschlerová","Taschler","TASCHLEROVA N","TASCHLER F",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2,443458,"KAZAKOVA M/REVIYA G","Kazakova/Reviya","Kazakova/Reviya", 8,  163, 2239,Georgia,GEO,18,18,"18","67.08","67.08",67080,"Q","37.17","29.91","0.00",TRUE,FALSE,1518048008,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",18,1,2,1778047,1426979,"KAZAKOVA Maria","REVIYA Georgiy","Maria","Georgiy","Kazakova","Reviya","KAZAKOVA M","REVIYA G",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2,161863,"GARABEDIAN T/PROULX-SENECAL S","Garabedian/Proulx-Sénécal","Garabedian/Proulx-Sénécal",10,  213, 4317,Armenia,ARM,19,19,"19","65.87","65.87",65870,"Q","35.57","30.30","0.00",TRUE,FALSE,1518048010,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",19,1,2,1302215,1450321,"GARABEDIAN Tina","PROULX-SENECAL Simon","Tina","Simon","Garabedian","Proulx-Sénécal","GARABEDIAN T","PROULX-SENECAL S",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 68137,"NAZAROVA O/NIKITIN M","Nazarova/Nikitin","Nazarova/Nikitin", 3,   13, 2232,Ukraine,UKR,20,20,"20","65.53","65.53",65530,"Q","35.44","30.09","0.00",TRUE,FALSE,1518048003,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",20,1,2,1023055,1023411,"NAZAROVA Oleksandra","NIKITIN Maksym","Oleksandra","Maksym","Nazarova","Nikitin","NAZAROVA O","NIKITIN M",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 84307,"MULLER K/DIECK T","Müller/Dieck","Müller/Dieck", 1,    2, 2206,Germany,GER,21,21,"21","65.47","65.47",65470,NA,"35.56","29.91","0.00",TRUE,FALSE,1518048001,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",21,1,2,1302148,1208633,"MULLER Katharina","DIECK Tim","Katharina","Tim","Müller","Dieck","MULLER K","DIECK T",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2,440306,"KOMATSUBARA M/KOLETO T","Komatsubara/Koleto","Komatsubara/Koleto", 6,   18, 2241,Japan,JPN,22,22,"22","65.41","65.41",65410,NA,"35.58","29.83","0.00",TRUE,FALSE,1518048006,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",22,1,2, 914613,1239214,"KOMATSUBARA Misato","KOLETO Tim","Misato","Tim","Komatsubara","Koleto","KOMATSUBARA M","KOLETO T",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2,477111,"RAMANAUSKAITE P/KIZALA D","Ramanauskaite/Kizala","Ramanauskaite/Kizala", 5,    7, 2215,Lithuania,LTU,23,23,"23","58.35","58.35",58350,NA,"32.49","25.86","0.00",TRUE,FALSE,1518048005,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",23,1,2,1710579,1363924,"RAMANAUSKAITE Paulina","KIZALA Deividas","Paulina","Deividas","Ramanauskaite","Kizala","RAMANAUSKAITE P","KIZALA D",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
