"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1212863,"KVITELASHVILI Moris","KVITELASHVILI M","Moris","Kvitelashvili",20,  163, 2239,Georgia,GEO,11,11,"11","170.64","170.64",170640,"85.92","84.72","0.00",TRUE,FALSE,1518048020,"456796:46:42",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1208557,"VASILJEVS Deniss","VASILJEVS D","Deniss","Vasiljevs", 9,    9, 2218,Latvia,LAT,12,12,"12","167.41","167.41",167410,"84.75","83.66","-1.00",TRUE,FALSE,1518048009,"456798:01:13",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1475708,"SIAO HIM FA Adam","SIAO HIM FA A","Adam","Siao Him Fa",11,  144, 2202,France,FRA,13,13,"13","163.41","163.41",163410,"81.69","82.72","-1.00",TRUE,FALSE,1518048011,"456795:22:44",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,2060463,"KONDRATIUK Mark","KONDRATIUK M","Mark","Kondratiuk",10,23062,73035,ROC,ROC,14,14,"14","162.71","162.71",162710,"80.15","83.56","-1.00",TRUE,FALSE,1518048010,"456795:22:34",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1302120,"AYMOZ Kevin","AYMOZ K","Kévin","Aymoz",15,  144, 2202,France,FRA,15,15,"15","161.80","161.80",161800,"76.60","86.20","-1.00",TRUE,FALSE,1518048015,"456798:03:33",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1, 918423,"KERRY Brendan","KERRY B","Brendan","Kerry", 8,  157, 2229,Australia,AUS,16,16,"16","160.01","160.01",160010,"83.51","76.50","0.00",TRUE,FALSE,1518048008,"456794:41:20",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1148712,"RIZZO Matteo","RIZZO M","Matteo","Rizzo",12,    6, 2210,Italy,ITA,17,17,"17","158.90","158.90",158900,"76.92","82.98","-1.00",TRUE,FALSE,1518048012,"456795:22:55",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1919083,"MOZALEV Andrey","MOZALEV A","Andrey","Mozalev", 2,23062,73035,ROC,ROC,18,18,"18","156.28","156.28",156280,"79.48","78.80","-2.00",TRUE,FALSE,1518048002,"456793:46:09",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1920929,"LITVINTSEV Vladimir","LITVINTSEV V","Vladimir","Litvintsev", 7,  214, 4318,Azerbaijan,AZE,19,19,"19","155.04","155.04",155040,"80.76","74.28","0.00",TRUE,FALSE,1518048007,"456794:33:12",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1745519,"MILYUKOV Konstantin","MILYUKOV K","Konstantin","Milyukov", 4,  103, 4387,Belarus,BLR,20,20,"20","143.73","143.73",143730,"71.35","72.38","0.00",TRUE,FALSE,1518048004,"456794:02:12",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1527564,"MAJOROV Nikolaj","MAJOROV N","Nikolaj","Majorov", 5,  154, 2222,Sweden,SWE,21,21,"21","142.24","142.24",142240,"67.60","74.64","0.00",TRUE,FALSE,1518048005,"456794:10:02",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1210894,"CARRILLO Donavan","CARRILLO D","Donavan","Carrillo", 6,  156, 2228,Mexico,MEX,22,22,"22","138.44","138.44",138440,"66.56","72.88","-1.00",TRUE,FALSE,1518048006,"456794:17:48",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1421755,"BRITSCHGI Lukas","BRITSCHGI L","Lukas","Britschgi", 1,  149, 2213,Switzerland,SUI,23,23,"23","136.42","136.42",136420,"64.72","71.70","0.00",TRUE,FALSE,1518048001,"456793:38:10",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1421736,"SHMURATKO Ivan","SHMURATKO I","Ivan","Shmuratko", 3,   13, 2232,Ukraine,UKR,24,24,"24","127.65","127.65",127650,"57.17","71.48","-1.00",TRUE,FALSE,1518048003,"456793:54:02",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
