"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID","c_ODF_IRM"
1,1017890,"GHILENKO Alla","GHILENKO A","Alla","Ghilenko","61",61,   23, 2251,Moldova,MDA,72,72,"72","+8:15.6","52:28.3",3148300,495600,"0 + 1 + 0 + 1","2",TRUE,FALSE,1,NA
1,1629027,"AVVAKUMOVA Ekaterina","AVVAKUMOVA E","Ekaterina","Avvakumova","40",40,  106, 4391,South Korea,KOR,73,73,"73","+8:18.7","52:31.4",3151400,498700,"3 + 0 + 2 + 1","6",TRUE,FALSE,1,NA
1,1221177,"MAEDA Sari","MAEDA S","Sari","Maeda","39",39,   18, 2241,Japan,JPN,74,74,"74","+8:32.3","52:45.0",3165000,512300,"2 + 1 + 0 + 4","7",TRUE,FALSE,1,NA
1,1475604,"JUPPE Anna","JUPPE A","Anna","Juppe","72",72,  151, 2219,Austria,AUT,75,75,"75","+8:37.0","52:49.7",3169700,517000,"1 + 3 + 1 + 3","8",TRUE,FALSE,1,NA
1,1017693,"VITTOZZI Lisa","VITTOZZI L","Lisa","Vittozzi","31",31,    6, 2210,Italy,ITA,76,76,"76","+8:44.4","52:57.1",3177100,524400,"5 + 1 + 2 + 0","8",TRUE,FALSE,1,NA
1,1017671,"BURTASOVA Evgeniya","BURTASOVA E","Evgeniya","Burtasova","84",84,23062,73035,ROC,ROC,77,77,"77","+9:07.6","53:20.3",3200300,547600,"1 + 0 + 2 + 3","6",TRUE,FALSE,1,NA
1,1023355,"NIGMATULLINA Uliana","NIGMATULLINA U","Uliana","Nigmatullina","29",29,23062,73035,ROC,ROC,78,78,"78","+9:29.4","53:42.1",3222100,569400,"1 + 2 + 3 + 4","10",TRUE,FALSE,1,NA
1,1137072,"OJA Regina","OJA R","Regina","Oja","42",42,    8, 2217,Estonia,EST,79,79,"79","+9:41.0","53:53.7",3233700,581000,"4 + 0 + 2 + 1","7",TRUE,FALSE,1,NA
1, 923171,"BEAUDRY Sarah","BEAUDRY S","Sarah","Beaudry","64",64,  159, 2231,Canada,CAN,80,80,"80","+9:42.3","53:55.0",3235000,582300,"3 + 1 + 1 + 0","5",TRUE,FALSE,1,NA
1,2068290,"DING Yuhuan","DING Y","Yuhuan","Ding","82",82,   26, 2770,China,CHN,81,81,"81","+10:01.9","54:14.6",3254600,601900,"2 + 1 + 0 + 2","5",TRUE,FALSE,1,NA
1,1137084,"KUELM Susan","KUELM S","Susan","Külm","89",89,    8, 2217,Estonia,EST,82,82,"82","+10:04.3","54:17.0",3257000,604300,"2 + 2 + 1 + 1","6",TRUE,FALSE,1,NA
1,1338729,"MACHYNIAKOVA Veronika","MACHYNIAKOVA V","Veronika","Machyniaková","87",87,   14, 2233,Slovakia,SVK,83,83,"83","+11:09.0","55:21.7",3321700,669000,"1 + 2 + 0 + 2","5",TRUE,FALSE,1,NA
1, 607268,"KIM Seon-Su","KIM SS","Seon-Su","Kim","70",70,  106, 4391,South Korea,KOR,84,84,"84","+12:24.8","56:37.5",3397500,744800,"3 + 0 + 3 + 0","6",TRUE,FALSE,1,NA
1, 759829,"MAKA Anna","MAKA A","Anna","Maka","69",69,  150, 2214,Poland,POL,85,85,"85","+14:05.6","58:18.3",3498300,845600,"2 + 2 + 2 + 3","9",TRUE,FALSE,1,NA
1, 909250,"KADEVA Daniela","KADEVA D","Daniela","Kadeva","76",76,  148, 2211,Bulgaria,BUL,86,86,"86","+15:17.7","59:30.4",3570400,917700,"4 + 1 + 2 + 1","8",TRUE,FALSE,1,NA
1, 602500,"SEMERENKO Valj","SEMERENKO V","Valj","Semerenko","62",62,   13, 2232,Ukraine,UKR,NA,87,NA,"DNF","DNF",NA,NA,"0 + 1","1",TRUE,FALSE,1,"DNF"
1,1137085,"MINKKINEN Suvi","MINKKINEN S","Suvi","Minkkinen","66",66,  161, 2237,Finland,FIN,NA,88,NA,"DNS","DNS",NA,NA,NA,NA,TRUE,FALSE,1,"DNS"
1,1137026,"BLASHKO Darya","BLASHKO D","Darya","Blashko","79",79,   13, 2232,Ukraine,UKR,NA,89,NA,"DNS","DNS",NA,NA,NA,NA,TRUE,FALSE,1,"DNS"
