"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming"
1,1338622,"SAMUELSSON Sebastian","SAMUELSSON S","Sebastian","Samuelsson","7", 7,  154, 2222,Sweden,SWE,11,11,"11","+2:46.6","41:01.0",2461000,166600,"0 + 0 + 1 + 3","4",TRUE,FALSE
1, 708876,"BOE Tarjei","BOE T","Tarjei","Bø","4", 4,  153, 2221,Norway,NOR,12,12,"12","+2:47.4","41:01.8",2461800,167400,"0 + 1 + 2 + 1","4",TRUE,FALSE
1, 844429,"GOW Christian","GOW C","Christian","Gow","25",25,  159, 2231,Canada,CAN,13,13,"13","+2:48.1","41:02.5",2462500,168100,"0 + 0 + 0 + 3","3",TRUE,FALSE
1,1017915,"REES Roman","REES R","Roman","Rees","17",17,    2, 2206,Germany,GER,14,14,"14","+2:50.8","41:05.2",2465200,170800,"0 + 0 + 1 + 2","3",TRUE,FALSE
1, 844397,"LOGINOV Aleksandr","LOGINOV A","Alexander","Loginov","10",10,23062,73035,ROC,ROC,15,15,"15","+2:51.8","41:06.2",2466200,171800,"2 + 0 + 2 + 3","7",TRUE,FALSE
1, 844426,"DESTHIEUX Simon","DESTHIEUX S","Simon","Desthieux","11",11,  144, 2202,France,FRA,16,16,"16","+2:57.0","41:11.4",2471400,177000,"1 + 2 + 1 + 1","5",TRUE,FALSE
1,1362517,"SMOLSKI Anton","SMOLSKI A","Anton","Smolski","3", 3,  103, 4387,Belarus,BLR,17,17,"17","+3:07.9","41:22.3",2482300,187900,"1 + 1 + 0 + 2","4",TRUE,FALSE
1,1245786,"BURNOTTE Jules","BURNOTTE J","Jules","Burnotte","29",29,  159, 2231,Canada,CAN,18,18,"18","+3:20.6","41:35.0",2495000,200600,"2 + 1 + 1 + 1","5",TRUE,FALSE
1,1137029,"LATYPOV Eduard","LATYPOV E","Eduard","Latypov","5", 5,23062,73035,ROC,ROC,19,19,"19","+3:21.0","41:35.4",2495400,201000,"1 + 3 + 1 + 2","7",TRUE,FALSE
1, 918879,"TSVETKOV Maxim","TSVETKOV M","Maxim","Tsvetkov","16",16,23062,73035,ROC,ROC,20,20,"20","+3:23.3","41:37.7",2497700,203300,"1 + 1 + 2 + 2","6",TRUE,FALSE
1, 823237,"KRCMAR Michal","KRCMAR M","Michal","Krcmár","28",28,   17, 2240,Czech Republic,CZE,21,21,"21","+3:40.5","41:54.9",2514900,220500,"0 + 1 + 1 + 3","5",TRUE,FALSE
1,1245776,"JACQUELIN Emilien","JACQUELIN E","Emilien","Jacquelin","6", 6,  144, 2202,France,FRA,22,22,"22","+3:54.3","42:08.7",2528700,234300,"2 + 1 + 0 + 2","5",TRUE,FALSE
1,1246138,"NAWRATH Philipp","NAWRATH P","Philipp","Nawrath","27",27,    2, 2206,Germany,GER,23,23,"23","+3:55.7","42:10.1",2530100,235700,"0 + 0 + 3 + 4","7",TRUE,FALSE
1, 844376,"PIDRUCHNYI Dmytro","PIDRUCHNYI D","Dmytro","Pidruchnyi","20",20,   13, 2232,Ukraine,UKR,24,24,"24","+4:01.8","42:16.2",2536200,241800,"0 + 3 + 2 + 2","7",TRUE,FALSE
1, 720662,"GOW Scott","GOW S","Scott","Gow","21",21,  159, 2231,Canada,CAN,25,25,"25","+4:03.2","42:17.6",2537600,243200,"0 + 4 + 2 + 1","7",TRUE,FALSE
1,1017663,"CLAUDE Fabien","CLAUDE F","Fabien","Claude","13",13,  144, 2202,France,FRA,26,26,"26","+4:35.4","42:49.8",2569800,275400,"1 + 2 + 1 + 1","5",TRUE,FALSE
1, 717511,"HOFER Lukas","HOFER L","Lukas","Hofer","19",19,    6, 2210,Italy,ITA,27,27,"27","+4:44.4","42:58.8",2578800,284400,"1 + 1 + 2 + 2","6",TRUE,FALSE
1, 708783,"PRYMA Artem","PRYMA A","Artem","Pryma","24",24,   13, 2232,Ukraine,UKR,28,28,"28","+4:58.2","43:12.6",2592600,298200,"2 + 1 + 3 + 1","7",TRUE,FALSE
1,1245792,"LEITNER Felix","LEITNER F","Felix","Leitner","22",22,  151, 2219,Austria,AUT,29,29,"29","+5:23.5","43:37.9",2617900,323500,"2 + 1 + 2 + 2","7",TRUE,FALSE
1,1023206,"CHENG Fangming","CHENG F","Fangming","Cheng","30",30,   26, 2770,China,CHN,30,30,"30","+6:12.4","44:26.8",2666800,372400,"4 + 0 + 0 + 0","4",TRUE,FALSE
