"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID","c_ODF_IRM"
1, 887832,"PRIBOSIC Urska","PRIBOSIC U","Urška","Pribošic","26",20,   30, 2783,Slovenia,SLO,18,18,"18","106.75","106.75",106750,NA,"43.00","25.75","63.75",TRUE,FALSE,1,NA
1,1854986,"RUMMEL Courtney","RUMMEL C","Courtney","Rummel","19",28,    5, 2209,United States,USA,19,19,"19","101.00","101.00",101000,NA,"44.75","56.25","38.75",TRUE,FALSE,1,NA
1,1486464,"NIEMELAE Carola","NIEMELAE C","Carola","Niemelä","28", 6,  161, 2237,Finland,FIN,20,20,"20","100.75","100.75",100750,NA,"12.75","58.50","42.25",TRUE,FALSE,1,NA
1, 835165,"VOIGT Brooke","VOIGT B","Brooke","Voigt","10",22,  159, 2231,Canada,CAN,21,21,"21","96.00","96.00", 96000,NA,"65.00","31.00","17.50",TRUE,FALSE,1,NA
1, 723851,"RUKAJARVI Enni","RUKAJARVI E","Enni","Rukajärvi","5", 3,  161, 2237,Finland,FIN,22,22,"22","89.25","89.25", 89250,NA,"25.75","17.25","63.50",TRUE,FALSE,1,NA
1,1132374,"BURRI Ariane","BURRI A","Ariane","Burri","21",16,  149, 2213,Switzerland,SUI,23,23,"23","85.00","85.00", 85000,NA,"57.75","18.75","27.25",TRUE,FALSE,1,NA
1,1761931,"POPPE Evy","POPPE E","Evy","Poppe","16",30,  147, 2205,Belgium,BEL,24,24,"24","81.75","81.75", 81750,NA,"44.00","60.75","21.00",TRUE,FALSE,1,NA
1,1131276,"ORMEROD Katie","ORMEROD K","Katie","Ormerod","14",27,  211, 4058,Great Britain,GBR,25,25,"25","69.75","69.75", 69750,NA,"14.75","60.25","9.50",TRUE,FALSE,1,NA
1,1253121,"KOSOVA Ekaterina","KOSOVA E","Ekaterina","Kosova","24", 7,23062,73035,ROC,ROC,26,26,"26","63.00","63.00", 63000,NA,"17.00","46.00","10.50",TRUE,FALSE,1,NA
1,1132439,"EILERTSEN Hanne","EILERTSEN H","Hanne","Eilertsen","25",29,  153, 2221,Norway,NOR,27,27,"27","57.25","57.25", 57250,NA,"39.75","17.50","12.75",TRUE,FALSE,1,NA
1,1027322,"JUGOVAC Lea","JUGOVAC L","Lea","Jugovac","29",26,   89, 4354,Croatia,CRO,28,28,"28","24.25","24.25", 24250,NA,"9.25","15.00","10.00",TRUE,FALSE,1,NA
1, 981974,"LEFEVRE Lucile","LEFEVRE L","Lucile","Lefèvre","27",21,  144, 2202,France,FRA,29,29,"29","20.00","20.00", 20000,NA,"19.00","15.00","20.00",TRUE,FALSE,1,NA
1,1368941,"MARINO Julia","MARINO J","Julia","Marino","12",23,    5, 2209,United States,USA,NA,30,NA,"DNS","DNS",NA,NA,"DNS","DNS","DNS",TRUE,FALSE,1,"DNS"
