"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ODF_QualificationMark","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_ClientStreamURL","c_ResultInfo_2","c_ODF_IRM"
1, 770782,"BROCKHOFF Belle","BROCKHOFF B","Belle","Brockhoff","2", 2,  157, 2229,Australia,AUS,18,18,"18","+2.53","1:24.72",84720,2530,"Q","1:25.72",TRUE,FALSE,1518048002,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:24.72",NA
1,2062401,"PARSHINA Alexandra","PARSHINA A","Alexandra","Parshina","29",29,23062,73035,ROC,ROC,19,19,"19","+2.57","1:24.76",84760,2570,"Q","1:27.16",TRUE,FALSE,1518048029,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:24.76",NA
1,1475753,"FISCHER Jana","FISCHER J","Jana","Fischer","26",26,    2, 2206,Germany,GER,20,20,"20","+2.69","1:24.88",84880,2690,"Q","1:25.76",TRUE,FALSE,1518048026,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:24.88",NA
1,1351721,"QUEYREL Alexia","QUEYREL A","Alexia","Queyrel","19",19,  144, 2202,France,FRA,21,21,"21","+2.98","1:25.17",85170,2980,"Q","1:25.25",TRUE,FALSE,1518048019,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:25.17",NA
1,1150142,"GALLINA Francesca","GALLINA F","Francesca","Gallina","21",21,    6, 2210,Italy,ITA,22,22,"22","+3.08","1:25.27",85270,3080,"Q","1:25.27",TRUE,FALSE,1518048021,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:25.51",NA
1,1150159,"HOPJAKOVA Vendula","HOPJAKOVA V","Vendula","Hopjáková","27",27,   17, 2240,Czech Republic,CZE,23,23,"23","+3.30","1:25.49",85490,3300,"Q","1:26.26",TRUE,FALSE,1518048027,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:25.49",NA
1,1027331,"BERGERMANN Zoe","BERGERMANN Z","Zoe","Bergermann","13",13,  159, 2231,Canada,CAN,24,24,"24","+3.65","1:25.84",85840,3650,"Q","1:28.68",TRUE,FALSE,1518048013,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:25.84",NA
1,1144681,"VASILTSOVA Mariya","VASILTSOVA M","Mariya","Vasiltsova","24",24,23062,73035,ROC,ROC,25,25,"25","+3.71","1:25.90",85900,3710,"Q","1:26.39",TRUE,FALSE,1518048024,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:25.90",NA
1,1027333,"CRITCHLOW Tess","CRITCHLOW T","Tess","Critchlow","9", 9,  159, 2231,Canada,CAN,26,26,"26","+3.94","1:26.13",86130,3940,"Q","1:26.51",TRUE,FALSE,1518048009,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:26.13",NA
1,1779875,"LOKTEVA-ZAGORSKAYA Ekaterina","LOKTEVA-ZAGORSKAYA E","Ekaterina","Lokteva-Zagorskaya","28",28,23062,73035,ROC,ROC,27,27,"27","+4.03","1:26.22",86220,4030,"Q","1:26.22",TRUE,FALSE,1518048028,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:26.41",NA
1,1629603,"SIEGENTHALER Sina","SIEGENTHALER S","Sina","Siegenthaler","18",18,  149, 2213,Switzerland,SUI,28,28,"28","+4.43","1:26.62",86620,4430,"Q","1:26.62",TRUE,FALSE,1518048018,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:27.44",NA
1,1027330,"BELINGHERI Sofia","BELINGHERI S","Sofia","Belingheri","11",11,    6, 2210,Italy,ITA,29,29,"29","+5.62","1:27.81",87810,5620,"Q","1:27.81",TRUE,FALSE,1518048011,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:33.48",NA
1,2262062,"FENG He","FENG H","He","Feng","32",32,   26, 2770,China,CHN,30,30,"30","+9.06","1:31.25",91250,9060,"Q","1:34.31",TRUE,FALSE,1518048032,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:31.25",NA
1,1023265,"ESTEVEZ Maeva","ESTEVEZ M","Maeva","Estévez","30",30,  155, 2227,Andorra,AND,31,31,"31","DNF","DNF",NA,NA,"Q","DNF",TRUE,FALSE,1518048030,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","DNS","DNF"
1,1964850,"NAKAMURA Yuka","NAKAMURA Y","Yuka","Nakamura","31",31,   18, 2241,Japan,JPN,32,32,"32","DNS","DNS",NA,NA,"Q","DNS",TRUE,FALSE,1518048031,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","DNS","DNS"
