"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1020397,"KUSTOVA Alexandra","KUSTOVA A","Alexandra","Kustova","25",25,23062,73035,ROC,ROC,20,20,"20","81.4","81.4", 81400,"Q","88.0",TRUE,FALSE,1518048025,"456683:23:44",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1135385,"HESSLER Pauline","HESSLER P","Pauline","Heßler","24",24,    2, 2206,Germany,GER,21,21,"21","80.9","80.9", 80900,"Q","89.5",TRUE,FALSE,1518048024,"456683:22:12",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1555413,"WESTMAN Frida","WESTMAN F","Frida","Westman","23",23,  154, 2222,Sweden,SWE,21,22,"21","80.9","80.9", 80900,"Q","87.0",TRUE,FALSE,1518048023,"456683:21:20",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1, 721180,"SEYFARTH Juliane","SEYFARTH J","Juliane","Seyfarth","20",20,    2, 2206,Germany,GER,23,23,"23","78.7","78.7", 78700,"Q","86.0",TRUE,FALSE,1518048020,"456683:13:53",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1220119,"INDRACKOVA Karolina","INDRACKOVA K","Karolína","Indrácková","14",14,   17, 2240,Czech Republic,CZE,24,24,"24","77.4","77.4", 77400,"Q","82.0",TRUE,FALSE,1518048014,"456683:00:09",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1, 766949,"KYKKAENEN Julia","KYKKAENEN J","Julia","Kykkänen","18",18,  161, 2237,Finland,FIN,25,25,"25","72.6","72.6", 72600,"Q","82.5",TRUE,FALSE,1518048018,"456683:09:32",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1555176,"STRATE Abigail","STRATE A","Abigail","Strate","15",15,  159, 2231,Canada,CAN,26,26,"26","71.7","71.7", 71700,"Q","75.5",TRUE,FALSE,1518048015,"456683:01:09",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1020439,"TIKHONOVA Sofia","TIKHONOVA S","Sofia","Tikhonova","13",13,23062,73035,ROC,ROC,27,27,"27","70.3","70.3", 70300,"Q","78.5",TRUE,FALSE,1518048013,"456682:59:08",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1555902,"FREITAG Selina","FREITAG S","Selina","Freitag","19",19,    2, 2206,Germany,GER,28,28,"28","69.8","69.8", 69800,"Q","80.0",TRUE,FALSE,1518048019,"456683:11:47",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,2268670,"INDRACKOVA Anezka","INDRACKOVA A","Anežka","Indrácková","2", 2,   17, 2240,Czech Republic,CZE,29,29,"29","62.8","62.8", 62800,"Q","79.0",TRUE,FALSE,1518048002,"456682:46:02",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
