"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1, 760083,"NTANOU Maria","NTANOU M","Maria","Ntanou","72",72,  171, 2774,Greece,GRE,88,88,"88","+9:33.1","37:39.4",2259400,573100,TRUE,FALSE,1
1,2068036,"SAVICKAITE Egle","SAVICKAITE E","Egle","Savickaite","94",94,    7, 2215,Lithuania,LTU,89,89,"89","+10:20.2","38:26.5",2306500,620200,TRUE,FALSE,1
1,2274174,"RIBERA Eduarda","RIBERA E","Eduarda","Ribera","93",93,   16, 2235,Brazil,BRA,90,90,"90","+10:52.4","38:58.7",2338700,652400,TRUE,FALSE,1
1,2175866,"DAINYTE Ieva","DAINYTE I","Ieva","Dainyte","98",98,    7, 2215,Lithuania,LTU,91,91,"91","+11:01.1","39:07.4",2347400,661100,TRUE,FALSE,1
1,1947597,"DURSUN Ozlem Ceren","DURSUN OC","Özlem Ceren","Dursun","85",85,   33, 2786,Turkey,TUR,92,92,"92","+11:11.3","39:17.6",2357600,671300,TRUE,FALSE,1
1,2068107,"KRAMPE Samanta","KRAMPE S","Samanta","Krampe","89",89,    9, 2218,Latvia,LAT,93,93,"93","+11:27.9","39:34.2",2374200,687900,TRUE,FALSE,1
1,2272449,"MURADYAN Angelina","MURADYAN A","Angelina","Muradyan","95",95,  213, 4317,Armenia,ARM,94,94,"94","+11:37.1","39:43.4",2383400,697100,TRUE,FALSE,1
1,1632851,"CVETANOVSKA Ana","CVETANOVSKA A","Ana","Cvetanovska","90",90,  231, 4358,Macedonia,MKD,95,95,"95","+11:51.4","39:57.7",2397700,711400,TRUE,FALSE,1
1,2272404,"DIAZ Nahiara","DIAZ N","Nahiara","Díaz","86",86,   24, 2768,Argentina,ARG,96,96,"96","+12:24.5","40:30.8",2430800,744500,TRUE,FALSE,1
1,1632856,"PONYA Sara","PONYA S","Sára","Pónya","97",97,   28, 2776,Hungary,HUN,97,97,"97","+13:07.3","41:13.6",2473600,787300,TRUE,FALSE,1
1,1949179,"TITA Nefeli","TITA N","Nefeli","Tita","83",83,  171, 2774,Greece,GRE,98,98,"98","+14:05.8","42:12.1",2532100,845800,TRUE,FALSE,1
