"Event","Match_ID","Comp1","Comp2"
"Mixed Doubles Tournament",746363,"Italy","Sweden"
"Mixed Doubles Tournament",746349,"Canada","Australia"
"Mixed Doubles Tournament",746361,"Czech Republic","China"
"Mixed Doubles Tournament",746375,"Switzerland","Norway"
"Mixed Doubles Tournament",746339,"United States","Great Britain"
"Mixed Doubles Tournament",746354,"Canada","Italy"
"Mixed Doubles Tournament",746345,"Italy","Sweden"
"Mixed Doubles Tournament",746370,"Norway","Great Britain"
"Mixed Doubles Tournament",746365,"Sweden","Great Britain"
"Mixed Doubles Tournament",746337,"Italy","Norway"
"Men's Tournament",746241,"Denmark","Canada"
"Men's Tournament",746263,"China","Sweden"
"Men's Tournament",746236,"Norway","Switzerland"
"Men's Tournament",746268,"United States","ROC"
"Women's Tournament",746320,"ROC","United States"
"Women's Tournament",746295,"Denmark","China"
"Women's Tournament",746287,"Sweden","Japan"
"Women's Tournament",746310,"Great Britain","Switzerland"
"Men's Tournament",746258,"Norway","Canada"
"Men's Tournament",746267,"United States","Sweden"
"Men's Tournament",746280,"China","ROC"
"Men's Tournament",746270,"Great Britain","Italy"
"Women's Tournament",746304,"Sweden","Great Britain"
"Women's Tournament",746302,"United States","Denmark"
"Women's Tournament",746330,"China","Switzerland"
"Women's Tournament",746299,"Canada","South Korea"
"Men's Tournament",746254,"Sweden","Italy"
"Men's Tournament",746265,"Switzerland","ROC"
"Men's Tournament",746266,"Denmark","China"
"Men's Tournament",746261,"Great Britain","United States"
"Women's Tournament",746322,"United States","China"
"Women's Tournament",746318,"Switzerland","ROC"
"Women's Tournament",746301,"Canada","Japan"
"Women's Tournament",746284,"South Korea","Great Britain"
"Men's Tournament",746243,"ROC","Denmark"
"Men's Tournament",746259,"Great Britain","Norway"
"Men's Tournament",746273,"Canada","Switzerland"
"Women's Tournament",746313,"South Korea","ROC"
"Women's Tournament",746311,"Japan","Denmark"
"Women's Tournament",746285,"Sweden","Canada"
"Men's Tournament",746248,"Canada","Sweden"
"Men's Tournament",746257,"United States","Norway"
"Men's Tournament",746235,"Italy","China"
"Men's Tournament",746260,"Denmark","Switzerland"
"Women's Tournament",746332,"Great Britain","United States"
"Women's Tournament",746323,"Denmark","Switzerland"
"Women's Tournament",746327,"Sweden","China"
"Women's Tournament",746291,"ROC","Japan"
"Men's Tournament",746251,"China","Great Britain"
"Men's Tournament",746276,"United States","Canada"
"Men's Tournament",746281,"Italy","ROC"
"Men's Tournament",746256,"Norway","Sweden"
"Women's Tournament",746325,"Denmark","Great Britain"
"Women's Tournament",746309,"United States","Sweden"
"Women's Tournament",746297,"Switzerland","Canada"
"Women's Tournament",746308,"South Korea","China"
"Men's Tournament",746277,"Great Britain","Denmark"
"Men's Tournament",746271,"Switzerland","Italy"
"Men's Tournament",746252,"China","United States"
"Women's Tournament",746293,"China","Japan"
"Women's Tournament",746324,"Canada","ROC"
"Women's Tournament",746331,"United States","South Korea"
"Men's Tournament",746272,"Canada","Italy"
"Men's Tournament",746247,"ROC","Sweden"
"Men's Tournament",746250,"Switzerland","Great Britain"
"Men's Tournament",746245,"Denmark","Norway"
"Women's Tournament",746303,"Japan","South Korea"
"Women's Tournament",746292,"Denmark","ROC"
"Women's Tournament",746306,"Great Britain","Canada"
"Women's Tournament",746315,"Switzerland","Sweden"
"Men's Tournament",746282,"ROC","Norway"
"Men's Tournament",746242,"Sweden","Denmark"
"Men's Tournament",746275,"Switzerland","United States"
"Men's Tournament",746278,"Canada","China"
"Women's Tournament",746294,"Sweden","Denmark"
"Women's Tournament",746319,"Great Britain","Japan"
"Women's Tournament",746317,"China","ROC"
"Women's Tournament",746298,"United States","Switzerland"
"Men's Tournament",746240,"Italy","United States"
"Men's Tournament",746283,"Norway","China"
"Men's Tournament",746279,"Sweden","Great Britain"
"Men's Tournament",746234,"ROC","Canada"
"Women's Tournament",746329,"Canada","United States"
"Women's Tournament",746286,"China","Great Britain"
"Women's Tournament",746328,"Switzerland","South Korea"
"Men's Tournament",746269,"Italy","Denmark"
"Men's Tournament",746238,"China","Switzerland"
"Men's Tournament",746239,"Great Britain","ROC"
"Women's Tournament",746314,"Japan","United States"
"Women's Tournament",746289,"ROC","Sweden"
"Women's Tournament",746300,"South Korea","Denmark"
"Women's Tournament",746307,"Canada","China"
"Men's Tournament",746244,"Canada","Great Britain"
"Men's Tournament",746237,"Norway","Italy"
"Men's Tournament",746253,"Denmark","United States"
"Men's Tournament",746249,"Sweden","Switzerland"
"Women's Tournament",746290,"Denmark","Canada"
"Women's Tournament",746305,"ROC","Great Britain"
"Women's Tournament",746326,"Japan","Switzerland"
"Women's Tournament",746312,"South Korea","Sweden"
"Men's Tournament",746274,"Sweden","Canada"
"Men's Tournament",746264,"United States","Great Britain"
"Men's Tournament",746262,"Canada","United States"
"Women's Tournament",746296,"Japan","Switzerland"
"Women's Tournament",746321,"Sweden","Great Britain"
"Men's Tournament",746246,"Sweden","Great Britain"
"Women's Tournament",746316,"Sweden","Switzerland"
"Women's Tournament",746288,"Japan","Great Britain"
