"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1349518,"STAUDINGER Rupert","STAUDINGER R","Rupert","Staudinger","26",26,  211, 4058,Great Britain,GBR,22,22,"22","+1.668","58.731",58731,1668,"129.0",TRUE,FALSE,1518048026,"456683:59:50",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1627660,"FAN Duoyao","FAN D","Duoyao","Fan","25",25,   26, 2770,China,CHN,23,23,"23","+1.785","58.848",58848,1785,"130.1",TRUE,FALSE,1518048025,"456683:57:49",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1349521,"SOCHOWICZ Mateusz","SOCHOWICZ M","Mateusz","Sochowicz","35",35,  150, 2214,Poland,POL,24,24,"24","+1.800","58.863",58863,1800,"121.9",TRUE,FALSE,1518048035,"456684:17:44",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1017080,"DUKACH Anton","DUKACH A","Anton","Dukach","20",20,   13, 2232,Ukraine,UKR,25,25,"25","+1.810","58.873",58873,1810,"130.4",TRUE,FALSE,1518048020,"456683:47:40",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1765305,"SKUPEK Marian","SKUPEK M","Marian","Skupek","32",32,   14, 2233,Slovakia,SVK,26,26,"26","+1.893","58.956",58956,1893,"124.2",TRUE,FALSE,1518048032,"456684:11:52",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1240582,"GLEIRSCHER Nico","GLEIRSCHER N","Nico","Gleirscher","6", 6,  151, 2219,Austria,AUT,27,27,"27","+2.047","59.110",59110,2047,"119.7",TRUE,FALSE,1518048006,"456683:20:21",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1470233,"LEJSEK Michael","LEJSEK M","Michael","Lejsek","30",30,   17, 2240,Czech Republic,CZE,28,28,"28","+2.479","59.542",59542,2479,"127.0",TRUE,FALSE,1518048030,NA,21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 994140,"ANGELOV Pavel","ANGELOV P","Pavel","Angelov","33",33,  148, 2211,Bulgaria,BUL,29,29,"29","+2.492","59.555",59555,2492,"124.7",TRUE,FALSE,1518048033,"456684:13:52",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,2167706,"KUMARITASHVILI Saba","KUMARITASHVILI S","Saba","Kumaritashvili","27",27,  163, 2239,Georgia,GEO,30,30,"30","+3.148","1:00.211",60211,3148,"126.7",TRUE,FALSE,1518048027,"456684:01:43",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1470537,"KOBAYASHI Seiya","KOBAYASHI S","Seiya","Kobayashi","28",28,   18, 2241,Japan,JPN,31,31,"31","+3.793","1:00.856",60856,3793,"123.6",TRUE,FALSE,1518048028,"456684:03:44",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 759640,"MANDZIY Andriy","MANDZIY A","Andriy","Mandziy","13",13,   13, 2232,Ukraine,UKR,32,32,"32","+4.019","1:01.082",61082,4019,"122.1",TRUE,FALSE,1518048013,"456683:32:30",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1769474,"NIKOLAJEV Mirza","NIKOLAJEV M","Mirza","Nikolajev","31",31,   78, 4324,Bosnia and Herzegovina,BIH,33,33,"33","+4.604","1:01.667",61667,4604,"120.6",TRUE,FALSE,1518048031,"456684:09:42",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1433606,"LIM Namkyu","LIM N","Namkyu","Lim","29",29,  106, 4391,South Korea,KOR,34,34,"34","+5.375","1:02.438",62438,5375,"116.1",TRUE,FALSE,1518048029,"456684:05:46",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 910100,"FISCHNALLER Kevin","FISCHNALLER K","Kevin","Fischnaller","9", 9,    6, 2210,Italy,ITA,NA,35,NA,"DNS","DNS",NA,NA,NA,TRUE,FALSE,1518048009,"456683:26:15",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2","DNS"
