"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1205052,"MAAG Natalie","MAAG N","Natalie","Maag","18",10,  149, 2213,Switzerland,SUI,14,14,"14","+0.687","58.913",58913, 687,"119.7",TRUE,FALSE,1518048010,"456756:14:36",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1124906,"APARJODE Kendija","APARJODE K","Kendija","Aparjode","28", 9,    9, 2218,Latvia,LAT,15,15,"15","+0.702","58.928",58928, 702,"126.6",TRUE,FALSE,1518048009,"456756:12:26",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1731288,"HOFER Verena","HOFER V","Verena","Hofer","19", 8,    6, 2210,Italy,ITA,16,16,"16","+0.735","58.961",58961, 735,"125.7",TRUE,FALSE,1518048008,"456756:08:39",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1593835,"VITOLA Elina Ieva","VITOLA EI","Elina Ieva","Vitola","4",11,    9, 2218,Latvia,LAT,17,17,"17","+0.803","59.029",59029, 803,"125.2",TRUE,FALSE,1518048011,"456756:17:31",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1, 923257,"FRISCH Aileen","FRISCH A","Aileen","Frisch","26",21,  106, 4391,South Korea,KOR,18,18,"18","+0.829","59.055",59055, 829,"124.4",TRUE,FALSE,1518048021,"456756:44:27",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1731289,"ZOGGELER Nina","ZOGGELER N","Nina","Zöggeler","13",16,    6, 2210,Italy,ITA,19,19,"19","+0.859","59.085",59085, 859,"119.2",TRUE,FALSE,1518048016,"456756:31:59",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1017124,"BRITCHER Summer","BRITCHER S","Summer","Britcher","23",26,    5, 2209,United States,USA,20,20,"20","+0.926","59.152",59152, 926,"119.3",TRUE,FALSE,1518048026,"456756:55:17",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1950698,"CORLESS Natalie","CORLESS N","Natalie","Corless","29",15,  159, 2231,Canada,CAN,21,21,"21","+0.950","59.176",59176, 950,"124.6",TRUE,FALSE,1518048015,"456756:30:12",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1769502,"HODGSON Makena","HODGSON M","Makena","Hodgson","17",17,  159, 2231,Canada,CAN,22,22,"22","+1.060","59.286",59286,1060,"125.2",TRUE,FALSE,1518048017,"456756:34:02",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1475790,"KOHALA Tove","KOHALA T","Tove","Kohala","30",20,  154, 2222,Sweden,SWE,23,23,"23","+1.107","59.333",59333,1107,"118.1",TRUE,FALSE,1518048020,"456756:43:06",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1944252,"TUNYTSKA Yulianna","TUNYTSKA Y","Yulianna","Tunytska","25",22,   13, 2232,Ukraine,UKR,24,24,"24","+1.345","59.571",59571,1345,"123.2",TRUE,FALSE,1518048022,"456756:46:18",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1474763,"RAVENNA Veronica Maria","RAVENNA VM","Verónica María","Ravenna","34",23,   24, 2768,Argentina,ARG,25,25,"25","+1.493","59.719",59719,1493,"123.4",TRUE,FALSE,1518048023,"456756:49:22",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1132685,"SIMONAKOVA Katarina","SIMONAKOVA K","Katarina","Simonaková","21",25,   14, 2233,Slovakia,SVK,26,26,"26","+1.535","59.761",59761,1535,"123.9",TRUE,FALSE,1518048025,"456756:53:11",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1017123,"STETSKIV Olena","STETSKIV O","Olena","Stetskiv","20",19,   13, 2232,Ukraine,UKR,27,27,"27","+1.737","59.963",59963,1737,"118.1",TRUE,FALSE,1518048019,"456756:41:29",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1632337,"WANG Peixuan","WANG P","Peixuan","Wang","32",27,   26, 2770,China,CHN,28,28,"28","+1.799","1:00.025",60025,1799,"122.8",TRUE,FALSE,1518048027,"456756:57:34",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1950679,"CEZIKOVA Anna","CEZIKOVA A","Anna","Cezikova","31",29,   17, 2240,Czech Republic,CZE,29,29,"29","+1.875","1:00.101",60101,1875,"122.3",TRUE,FALSE,1518048029,"456757:00:40",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1632335,"LIN Sin-Rong","LIN SR","Sin-Rong","Lin","33",32,   31, 2784,Chinese Taipei,TPE,30,30,"30","+2.778","1:01.004",61004,2778,"120.6",TRUE,FALSE,1518048032,"456757:04:47",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1593840,"DOMARADZKA Klaudia","DOMARADZKA K","Klaudia","Domaradzka","22",24,  150, 2214,Poland,POL,31,31,"31","+3.087","1:01.313",61313,3087,"122.5",TRUE,FALSE,1518048024,"456756:50:32",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1947528,"DESCALUI Doina","DESCALUI D","Doina","Descalui","35",33,   23, 2251,Moldova,MDA,32,32,"32","+3.948","1:02.174",62174,3948,"112.7",TRUE,FALSE,1518048033,"456757:06:43",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1936339,"DESMOND Elsa","DESMOND E","Elsa","Desmond","27",34,   19, 2242,Ireland,IRL,33,33,"33","+4.028","1:02.254",62254,4028,"115.5",TRUE,FALSE,1518048034,"456757:08:31",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1, 428978,"STRAMATURARU Raluca","STRAMATURARU R","Raluca","Stramaturaru","16",30,  164, 2244,Romania,ROU,NA,34,NA,"DNF","DNF",NA,NA,"119.4",TRUE,FALSE,1518048030,"456757:02:23",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4","DNF"
