"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1136198,"GOOD Jasper","GOOD J","Jasper","Good","4", 4,    5, 2209,United States,USA,36,36,"36","79.8","79.8", 79800,"115.5","+4:00",TRUE,FALSE,1518048004,"456920:02:59",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1766437,"NIITTYKOSKI Otto","NIITTYKOSKI O","Otto","Niittykoski","22",22,  161, 2237,Finland,FIN,37,37,"37","79.2","79.2", 79200,"118.0","+4:02",TRUE,FALSE,1518048022,"456920:20:14",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1356949,"RAKPAROV Chingiz","RAKPAROV C","Chingiz","Rakparov","5", 5,  160, 2236,Kazakhstan,KAZ,38,38,"38","69.6","69.6", 69600,"111.5","+4:41",TRUE,FALSE,1518048005,"456920:03:46",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1135377,"PARK Jeun","PARK J","Jeun","Park","10",10,  106, 4391,South Korea,KOR,39,39,"39","67.9","67.9", 67900,"107.0","+4:48",TRUE,FALSE,1518048010,"456920:08:12",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1, 835860,"COSTA Samuel","COSTA S","Samuel","Costa","21",21,    6, 2210,Italy,ITA,40,40,"40","64.3","64.3", 64300,"110.0","+5:02",TRUE,FALSE,1518048021,"456920:18:57",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,2080220,"BLONDEAU Gael","BLONDEAU G","Gael","Blondeau","14",14,  144, 2202,France,FRA,41,41,"41","59.3","59.3", 59300,"103.5","+5:22",TRUE,FALSE,1518048014,"456920:12:22",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1948057,"GALUNIN Artem","GALUNIN A","Artem","Galunin","1", 1,23062,73035,ROC,ROC,42,42,"42","58.0","58.0", 58000,"108.5","+5:27",TRUE,FALSE,1518048001,"456920:00:19",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1, 602822,"PITTIN Alessandro","PITTIN A","Alessandro","Pittin","15",15,    6, 2210,Italy,ITA,43,43,"43","55.8","55.8", 55800,"105.0","+5:36",TRUE,FALSE,1518048015,"456920:12:33",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1018187,"BARKOV Viacheslav","BARKOV V","Viacheslav","Barkov","9", 9,23062,73035,ROC,ROC,44,44,"44","53.3","53.3", 53300,"103.0","+5:46",TRUE,FALSE,1518048009,"456920:07:16",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1766430,"SZCZECHOWICZ Andrzej","SZCZECHOWICZ A","Andrzej","Szczechowicz","2", 2,  150, 2214,Poland,POL,45,45,"45","44.6","44.6", 44600,"93.0","+6:21",TRUE,FALSE,1518048002,"456920:01:09",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1955622,"ZHAO Jiawen","ZHAO J","Jiawen","Zhao","6", 6,   26, 2770,China,CHN,46,46,"46","32.7","32.7", 32700,"93.0","+7:08",TRUE,FALSE,1518048006,"456920:04:39",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1555539,"VINOGRADOVS Markuss","VINOGRADOVS M","Markuss","Vinogradovs","3", 3,    9, 2218,Latvia,LAT,47,47,"47","30.9","30.9", 30900,"88.0","+7:16",TRUE,FALSE,1518048003,"456920:02:06",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1018175,"MASTIEV Samir","MASTIEV S","Samir","Mastiev","7", 7,23062,73035,ROC,ROC,48,48,"48","20.4","20.4", 20400,"86.5","+7:58",TRUE,FALSE,1518048007,"456920:05:31",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
