"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1352331,"VRHOVNIK Vid","VRHOVNIK V","Vid","Vrhovnik","17",17,   30, 2783,Slovenia,SLO,31,31,"31","88.0","88.0", 88000,"91.5","+3:00",TRUE,FALSE,1518048017,"456776:57:43",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1019258,"KUPCZAK Szczepan","KUPCZAK S","Szczepan","Kupczak","13",13,  150, 2214,Poland,POL,32,32,"32","87.5","87.5", 87500,"89.5","+3:02",TRUE,FALSE,1518048013,"456776:13:39",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1477950,"SCHUMANN Stephen","SCHUMANN S","Stephen","Schumann","4", 4,    5, 2209,United States,USA,33,33,"33","86.4","86.4", 86400,"88.5","+3:06",TRUE,FALSE,1518048004,"456776:08:36",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1, 603077,"FLETCHER Taylor","FLETCHER T","Taylor","Fletcher","22",22,    5, 2209,United States,USA,34,34,"34","83.3","83.3", 83300,"86.5","+3:19",TRUE,FALSE,1518048022,"456776:23:45",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1351898,"MAZURCHUK Dmytro","MAZURCHUK D","Dmytro","Mazurchuk","11",11,   13, 2232,Ukraine,UKR,35,35,"35","82.5","82.5", 82500,"87.0","+3:22",TRUE,FALSE,1518048011,"456776:14:45",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1135377,"PARK Jeun","PARK J","Jeun","Park","8", 8,  106, 4391,South Korea,KOR,36,36,"36","82.3","82.3", 82300,"90.0","+3:23",TRUE,FALSE,1518048008,"456776:11:34",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1766430,"SZCZECHOWICZ Andrzej","SZCZECHOWICZ A","Andrzej","Szczechowicz","6", 6,  150, 2214,Poland,POL,37,37,"37","76.4","76.4", 76400,"82.5","+3:46",TRUE,FALSE,1518048006,"456776:06:25",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1356949,"RAKPAROV Chingiz","RAKPAROV C","Chingiz","Rakparov","10",10,  160, 2236,Kazakhstan,KAZ,38,38,"38","69.9","69.9", 69900,"79.5","+4:12",TRUE,FALSE,1518048010,"456776:11:00",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1948057,"GALUNIN Artem","GALUNIN A","Artem","Galunin","3", 3,23062,73035,ROC,ROC,39,39,"39","66.8","66.8", 66800,"77.0","+4:25",TRUE,FALSE,1518048003,"456776:03:35",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1, 602822,"PITTIN Alessandro","PITTIN A","Alessandro","Pittin","15",15,    6, 2210,Italy,ITA,40,40,"40","62.9","62.9", 62900,"75.5","+4:40",TRUE,FALSE,1518048015,"456776:16:39",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1018187,"BARKOV Viacheslav","BARKOV V","Viacheslav","Barkov","5", 5,23062,73035,ROC,ROC,41,41,"41","61.6","61.6", 61600,"78.0","+4:46",TRUE,FALSE,1518048005,"456776:05:36",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1955622,"ZHAO Jiawen","ZHAO J","Jiawen","Zhao","9", 9,   26, 2770,China,CHN,42,42,"42","59.0","59.0", 59000,"81.0","+4:56",TRUE,FALSE,1518048009,"456776:10:06",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1555539,"VINOGRADOVS Markuss","VINOGRADOVS M","Markuss","Vinogradovs","7", 7,    9, 2218,Latvia,LAT,43,43,"43","55.0","55.0", 55000,"72.0","+5:12",TRUE,FALSE,1518048007,"456776:07:20",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1018175,"MASTIEV Samir","MASTIEV S","Samir","Mastiev","1", 1,23062,73035,ROC,ROC,44,44,"44","47.8","47.8", 47800,"72.0","+5:41",TRUE,FALSE,1518048001,"456776:01:48",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1356947,"GERARD Antoine","GERARD A","Antoine","Gérard","25",25,  144, 2202,France,FRA,NA,45,NA,"DSQ","DSQ",NA,NA,NA,TRUE,FALSE,1518048025,"456776:57:48",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill","DSQ"
1,1240656,"WEBER Terence","WEBER T","Terence","Weber","43",43,    2, 2206,Germany,GER,NA,46,NA,"DNS","DNS",NA,NA,NA,TRUE,FALSE,1518048043,NA,215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill","DNS"
